locationUid,assetUid,timestamp,latitude,longitude,speed_unit,direction_unit,eventUid,pedestrian_count,pedestrian_speed,pedestrian_direction,pedestrian_counter_count,pedestrian_counter_speed,pedestrian_counter_direction
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317768894,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzc2ODg5NA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317799019,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzc5OTAxOQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317829210,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzgyOTIxMA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317859334,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzg1OTMzNA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317889525,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzg4OTUyNQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317919716,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzkxOTcxNg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317949774,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzk0OTc3NA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317979898,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzk3OTg5OA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318009955,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODAwOTk1NQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318040146,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODA0MDE0Ng==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318070204,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODA3MDIwNA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318100328,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODEwMDMyOA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318130519,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODEzMDUxOQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318160710,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODE2MDcxMA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318190768,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODE5MDc2OA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318220892,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODIyMDg5Mg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318250950,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODI1MDk1MA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318281008,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODI4MTAwOA==,0.0,0.0,66.0,0.0,0.0,66.0
